class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,project,commit,commitprevious,className,BOC,TACH,FCH,LCH,CHO,FRCH,CHD,WCD,WFR,ATAF,LCA,LCD,CSB,CSBS,ACDF,projectName,commitNumber,fullyQualifiedName,PublicFieldCount,IsAbstract,ClassLinesOfCode,WeighOfClass,FANIN,TightClassCohesion,FANOUT,OverrideRatio,LCOM3,WeightedMethodCount,LCOM2,NumberOfAccessorMethods,LazyClass,DataClass,ComplexClass,SpaghettiCode,SpeculativeGenerality,GodClass,RefusedBequest,ClassDataShouldBePrivate,BrainClass,TotalClass,LongParameterList,LongMethod,FeatureEnvy,DispersedCoupling,MessageChain,IntensiveCoupling,ShotgunSurgery,BrainMethod,TotalMethod,TotalClassMethod,DiversityTotal,DiversityMethod,DiversityClass,PROJECT_NAME,CURRENT_COMMIT,PREVIOUS_COMMIT,CLASS_CURRENTCOMMIT,CLASS_PREVIOUSCOMMIT,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_ORDERING_CHANGE,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,TOTAL_STATEMENTLEVELCHANGES,PARENT_CLASS_CHANGE,PARENT_CLASS_DELETE,PARENT_CLASS_INSERT,CLASS_RENAMING,TOTAL_CLASSDECLARATIONCHANGES,RETURN_TYPE_CHANGE,RETURN_TYPE_DELETE,RETURN_TYPE_INSERT,METHOD_RENAMING,PARAMETER_DELETE,PARAMETER_INSERT,PARAMETER_ORDERING_CHANGE,PARAMETER_RENAMING,PARAMETER_TYPE_CHANGE,TOTAL_METHODDECLARATIONSCHANGES,ATTRIBUTE_RENAMING,ATTRIBUTE_TYPE_CHANGE,TOTAL_ATTRIBUTEDECLARATIONCHANGES,ADDING_ATTRIBUTE_MODIFIABILITY,REMOVING_ATTRIBUTE_MODIFIABILITY,REMOVING_CLASS_DERIVABILITY,REMOVING_METHOD_OVERRIDABILITY,ADDING_CLASS_DERIVABILITY,ADDING_METHOD_OVERRIDABILITY,TOTAL_DECLARATIONPARTCHANGES,TOTAL_CHANGES,will_change,release
org.jfree.data.statistics.SimpleHistogramBin,class,2,32,1,2,0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,1,0,6,0,0,1,0,1,110,28,0,9,0,2,1,8,9,0,8,1,0,0,0,87,1,0,Public Class,org.jfree.data.statistics.SimpleHistogramBin,main/java/org/jfree/data/statistics/SimpleHistogramBin.java,2.0,2.0,3.0,2.0,16.0,0.0,9.0,6.0,5.0,3.0,0.0,,0.0,1.0,,,11.0,5.0,11.0,11.0,0.0,0.0,0.0,11.0,,223.0,18.0,116.0,26.0,60.0,89.0,,,44.0,77.0,20.0,57.0,,,,,7.0,7.0,7.0,7.0,1.0,1.0,56.0,0.77,32,32,34,31,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.SimpleHistogramBin,3,3,3,3,1,1,0.025210084033613446,3.0,2,3.0,3,0.025210084033613446,3,0.0,0.025210084033613446,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.SimpleHistogramBin,79.0,0.6363636363636364,0.7,0.0,2.0,0.0,0.6363636363636364,0.0,4.0,32.0,0.4545454545454545,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.SimpleHistogramBin,org.jfree.data.statistics.SimpleHistogramBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.MultiValueCategoryDataset,interface,1,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,Public Interface,org.jfree.data.statistics.MultiValueCategoryDataset,main/java/org/jfree/data/statistics/MultiValueCategoryDataset.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,0.0,0.0,,,2.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,,23.0,2.0,3.0,3.0,0.0,18.0,,,2.0,3.0,3.0,0.0,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0,0,0,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.MultiValueCategoryDataset,3,0,3,3,1,1,0.06896551724137931,0.0,2,8.0,0,0.0,0,0.0,0.06896551724137931,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.MultiValueCategoryDataset,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.MultiValueCategoryDataset,org.jfree.data.statistics.MultiValueCategoryDataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.MeanAndStandardDeviation,class,2,14,1,2,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,1,0,3,0,0,1,0,2,51,10,0,3,0,1,3,1,8,1,6,1,0,0,0,61,1,0,Public Class,org.jfree.data.statistics.MeanAndStandardDeviation,main/java/org/jfree/data/statistics/MeanAndStandardDeviation.java,1.0,1.0,1.0,1.0,13.0,0.0,6.0,7.0,2.0,5.0,0.0,,0.0,1.0,,,8.0,2.0,8.0,8.0,0.0,0.0,0.0,8.0,,129.0,11.0,54.0,17.0,27.0,64.0,,,21.0,36.0,15.0,21.0,,,,,5.0,5.0,5.0,5.0,1.0,1.0,37.0,1.19,14,14,14,12,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.MeanAndStandardDeviation,3,7,3,3,1,1,0.1206896551724138,7.0,2,7.0,7,0.1206896551724138,7,0.0,0.1206896551724138,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.MeanAndStandardDeviation,37.0,0.5833333333333333,0.6666666666666666,0.0,1.0,0.0,0.5,2.0,4.0,14.0,0.6071428571428571,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.MeanAndStandardDeviation,org.jfree.data.statistics.MeanAndStandardDeviation,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,interface,1,18,1,0,153,0.0,0.0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,Public Interface,org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,main/java/org/jfree/data/statistics/BoxAndWhiskerCategoryDataset.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,,0.0,0.0,,,18.0,0.0,18.0,32.0,0.0,0.0,0.0,18.0,,185.0,19.0,20.0,19.0,0.0,146.0,,,18.0,19.0,19.0,0.0,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.3,0,0,0,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,3,0,3,3,1,1,0.014778325123152709,0.0,2,6.0,0,0.0,0,0.0,0.014778325123152709,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,class,8,43,2,28,0,0.0,0.0,19,0,19,0,0,0,19,0,0,0,4,0,0,3,1,0,0,0,9,161,22,4,10,0,1,3,18,45,2,29,3,0,0,0,125,1,0,Public Class,org.jfree.data.statistics.DefaultMultiValueCategoryDataset,main/java/org/jfree/data/statistics/DefaultMultiValueCategoryDataset.java,2.0,2.0,2.0,1.0,15.0,0.0,8.0,6.0,4.0,12.0,0.0,,0.0,0.0,,,19.0,4.0,19.0,33.0,0.0,0.0,0.0,19.0,,360.0,28.0,183.0,66.0,96.0,149.0,,,81.0,123.0,49.0,86.0,,,,,10.0,10.0,10.0,3.0,2.0,3.0,67.0,0.81,41,41,43,21,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.DefaultMultiValueCategoryDataset,3,10,3,3,1,2,0.05128205128205128,10.0,2,5.0,10,0.05128205128205128,10,0.0,0.02564102564102564,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.DefaultMultiValueCategoryDataset,134.0,0.7807017543859649,0.8240740740740741,0.0,3.0,0.0,0.21052631578947367,18.0,15.0,44.0,0.7368421052631579,0.14285714285714285,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,3,1,2,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.DefaultMultiValueCategoryDataset,org.jfree.data.statistics.DefaultMultiValueCategoryDataset,2,2,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,class,10,89,2,42,0,0.0,0.0,44,0,43,1,0,0,43,0,0,0,7,0,0,6,1,0,0,0,8,335,36,2,32,0,4,0,10,106,0,61,6,0,0,0,162,1,0,Public Class,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,1.0,1.0,2.0,1.0,17.0,0.0,8.0,9.0,4.0,10.0,2.0,,0.0,0.0,,,44.0,7.0,44.0,58.0,0.0,1.0,0.0,43.0,,881.0,63.0,397.0,160.0,225.0,421.0,,,173.0,255.0,106.0,180.0,,,,,10.0,10.0,12.0,3.0,2.0,6.0,79.0,1.06,81,81,89,46,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,3,6,3,3,1,1,0.014778325123152709,6.0,2,6.0,6,0.014778325123152709,6,0.0,0.014778325123152709,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,284.0,0.8409090909090909,0.8604651162790697,0.0,2.0,0.0,0.2558139534883721,68.0,32.0,84.0,0.7464008859357697,0.14285714285714285,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,4,4,2,2,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.Statistics,class,3,47,1,20,78,0.0,0.0,13,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,25,217,15,9,12,0,16,15,59,81,70,51,5,0,0,0,178,1025,0,Public Abstract Class,org.jfree.data.statistics.Statistics,main/java/org/jfree/data/statistics/Statistics.java,3.0,3.0,3.0,1.0,30.0,1.0,17.0,11.0,1.0,8.0,0.0,,13.0,0.0,,,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,,412.0,31.0,230.0,60.0,154.0,151.0,,,123.0,170.0,62.0,125.0,,,,,7.0,7.0,7.0,7.0,1.0,5.0,0.0,0.66,46,46,47,19,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.Statistics,3,20,3,3,1,1,0.08438818565400844,20.0,2,20.0,20,0.08438818565400844,20,0.0,0.08438818565400844,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.Statistics,154.0,0.0,0.0,1.0,2.0,0.0,1.0,9.0,0.0,54.0,0.0,,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,1,1,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.Statistics,org.jfree.data.statistics.Statistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.SimpleHistogramDataset,class,11,42,5,25,201,0.0,0.0,27,0,27,0,0,0,27,0,0,0,4,1,0,4,0,0,1,0,3,149,25,4,2,0,3,3,6,22,5,18,2,0,0,0,166,1,0,Public Class,org.jfree.data.statistics.SimpleHistogramDataset,main/java/org/jfree/data/statistics/SimpleHistogramDataset.java,1.0,1.0,1.0,1.0,13.0,0.0,5.0,8.0,5.0,15.0,0.0,,0.0,1.0,,,27.0,3.0,27.0,53.0,0.0,0.0,0.0,27.0,,432.0,32.0,171.0,66.0,76.0,229.0,,,65.0,107.0,46.0,72.0,,,,,6.0,6.0,6.0,6.0,5.0,2.0,75.0,1.34,41,41,42,32,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.SimpleHistogramDataset,3,12,3,3,1,3,0.06521739130434782,12.0,2,4.0,12,0.06521739130434782,12,0.0,0.021739130434782608,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.SimpleHistogramDataset,123.0,0.8941798941798942,0.9285714285714286,0.0,1.0,0.0,0.3333333333333333,20.0,18.0,42.0,0.21367521367521367,0.8,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,2,1,1,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.SimpleHistogramDataset,org.jfree.data.statistics.SimpleHistogramDataset,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
org.jfree.data.statistics.BoxAndWhiskerItem,class,2,25,1,3,4,0.0,0.0,13,0,13,0,0,0,13,0,0,0,10,1,0,10,0,0,1,0,10,96,23,0,2,0,1,5,1,11,1,11,1,0,0,0,83,1,0,Public Class,org.jfree.data.statistics.BoxAndWhiskerItem,main/java/org/jfree/data/statistics/BoxAndWhiskerItem.java,1.0,1.0,1.0,1.0,14.0,0.0,7.0,6.0,2.0,7.0,0.0,,0.0,1.0,,,13.0,9.0,13.0,13.0,0.0,0.0,0.0,13.0,,246.0,29.0,114.0,37.0,53.0,103.0,,,44.0,70.0,25.0,45.0,,,,,12.0,12.0,12.0,12.0,1.0,1.0,73.0,0.9,25,25,25,24,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.BoxAndWhiskerItem,3,21,3,3,1,1,0.17647058823529413,21.0,2,21.0,21,0.17647058823529413,21,0.0,0.17647058823529413,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.BoxAndWhiskerItem,71.0,0.7615384615384615,0.8250000000000001,0.0,2.0,0.0,0.3076923076923077,9.0,9.0,25.0,0.3205128205128205,,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,3,5,4,2,2,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.BoxAndWhiskerItem,org.jfree.data.statistics.BoxAndWhiskerItem,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
org.jfree.data.statistics.BoxAndWhiskerCalculator,class,4,21,1,18,6,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,103,4,2,2,0,4,3,25,39,18,26,4,0,0,0,96,1025,0,Public Abstract Class,org.jfree.data.statistics.BoxAndWhiskerCalculator,main/java/org/jfree/data/statistics/BoxAndWhiskerCalculator.java,4.0,4.0,5.0,1.0,42.0,3.0,27.0,12.0,1.0,9.0,0.0,,4.0,0.0,,,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,181.0,17.0,110.0,33.0,76.0,54.0,,,51.0,71.0,31.0,53.0,,,,,10.0,10.0,12.0,1.0,1.0,4.0,0.0,0.49,19,19,21,4,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.BoxAndWhiskerCalculator,3,8,3,3,1,1,0.06896551724137931,8.0,2,8.0,8,0.06896551724137931,8,0.0,0.06896551724137931,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.BoxAndWhiskerCalculator,71.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,0.0,26.0,0.0,,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,3,1,2,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.BoxAndWhiskerCalculator,org.jfree.data.statistics.BoxAndWhiskerCalculator,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
org.jfree.data.statistics.HistogramBin,class,1,12,1,1,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,0,4,0,0,1,0,0,48,9,0,5,0,0,1,2,8,1,8,1,0,0,0,62,1,0,Public Class,org.jfree.data.statistics.HistogramBin,main/java/org/jfree/data/statistics/HistogramBin.java,1.0,1.0,1.0,1.0,10.0,0.0,5.0,5.0,3.0,3.0,0.0,,0.0,1.0,,,8.0,3.0,8.0,8.0,0.0,0.0,0.0,8.0,,114.0,13.0,51.0,19.0,24.0,50.0,,,22.0,35.0,17.0,18.0,,,,,4.0,4.0,6.0,4.0,1.0,1.0,50.0,0.98,12,12,14,11,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.HistogramBin,3,0,3,3,1,1,0.06896551724137931,0.0,2,8.0,0,0.0,0,0.0,0.06896551724137931,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.HistogramBin,37.0,0.625,0.7142857142857143,0.0,2.0,0.0,0.5,0.0,4.0,12.0,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.HistogramBin,org.jfree.data.statistics.HistogramBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.HistogramType,class,1,12,1,3,0,0.0,0.0,5,0,3,2,0,0,3,0,0,0,5,4,3,2,0,0,4,0,0,44,11,0,2,0,1,3,1,6,0,6,1,0,0,0,78,1,0,Public Class,org.jfree.data.statistics.HistogramType,main/java/org/jfree/data/statistics/HistogramType.java,2.0,2.0,2.0,2.0,14.0,1.0,7.0,5.0,2.0,3.0,0.0,,0.0,4.0,,,5.0,1.0,5.0,5.0,0.0,2.0,0.0,3.0,,105.0,17.0,50.0,18.0,24.0,38.0,,,18.0,31.0,12.0,22.0,,,,,5.0,5.0,5.0,5.0,1.0,1.0,19.0,0.76,12,12,12,12,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.HistogramType,3,0,3,3,1,1,0.06896551724137931,0.0,2,8.0,0,0.0,0,0.0,0.06896551724137931,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.HistogramType,34.0,0.72,0.9,0.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.HistogramType,org.jfree.data.statistics.HistogramType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,class,8,48,4,20,119,0.0,0.0,27,0,27,0,0,0,27,0,0,0,8,0,0,8,0,0,0,0,1,192,28,0,14,0,2,3,3,50,2,30,2,0,0,0,191,1,0,Public Class,org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDataset.java,1.0,1.0,1.0,1.0,15.0,0.0,7.0,8.0,3.0,12.0,0.0,,0.0,0.0,,,27.0,8.0,27.0,49.0,0.0,0.0,0.0,27.0,,506.0,37.0,221.0,82.0,111.0,248.0,,,88.0,137.0,58.0,89.0,,,,,6.0,6.0,6.0,6.0,4.0,2.0,82.0,1.12,48,48,48,32,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,3,12,3,3,1,2,0.052173913043478265,12.0,2,6.0,12,0.052173913043478265,12,0.0,0.026086956521739132,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,158.0,0.8754208754208754,0.9090909090909092,0.0,3.0,0.0,0.14814814814814814,15.0,23.0,51.0,0.3304843304843305,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,1,1,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
org.jfree.data.statistics.StatisticalCategoryDataset,interface,1,4,1,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,Public Interface,org.jfree.data.statistics.StatisticalCategoryDataset,main/java/org/jfree/data/statistics/StatisticalCategoryDataset.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,0.0,0.0,,,4.0,0.0,4.0,18.0,0.0,0.0,0.0,4.0,,43.0,5.0,6.0,5.0,0.0,32.0,,,4.0,5.0,5.0,0.0,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.33,0,0,0,0,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,org.jfree.data.statistics.StatisticalCategoryDataset,3,0,3,3,1,1,0.03448275862068965,0.0,2,2.0,0,0.0,0,0.0,0.03448275862068965,commons-bcel,fd72df7cc159ada0f5865389a55969507ed3a123,org.jfree.data.statistics.StatisticalCategoryDataset,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123,0e8ca74b12db0960f9d2a6a8f9154d39d0f9e92a,org.jfree.data.statistics.StatisticalCategoryDataset,org.jfree.data.statistics.StatisticalCategoryDataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
